Time,Entropy(log2)
0.000000000000000000e+00,-0.000000000000000000e+00
4.008016032064128098e-02,1.029501868788715849e-04
8.016032064128256196e-02,1.306498751774184041e-03
1.202404809619238429e-01,5.568835077502197646e-03
1.603206412825651239e-01,1.517272541289195129e-02
2.004008016032063910e-01,3.230588857265889735e-02
2.404809619238476859e-01,5.878327698898128811e-02
2.805611222444889807e-01,9.587798955640475240e-02
3.206412825651302478e-01,1.442437026613093698e-01
3.607214428857715149e-01,2.039098726375445925e-01
4.008016032064127820e-01,2.743333543877239933e-01
4.408817635270541047e-01,3.544831023822233584e-01
4.809619238476953718e-01,4.429514432602731921e-01
5.210420841683366389e-01,5.380652158885700365e-01
5.611222444889779615e-01,6.380017808393693146e-01
6.012024048096191731e-01,7.408904236016522482e-01
6.412825651302604957e-01,8.449028511223982685e-01
6.813627254509018183e-01,9.483277683084109233e-01
7.214428857715430299e-01,1.049625161052452738e+00
7.615230460921843525e-01,1.147471819095446932e+00
8.016032064128255641e-01,1.240783817886525364e+00
8.416833667334668867e-01,1.328729960363939533e+00
8.817635270541082093e-01,1.410732377325158771e+00
9.218436873747494209e-01,1.486456828799489704e+00
9.619238476953907435e-01,1.555796277861980492e+00
1.002004008016031955e+00,1.618848789274943023e+00
1.042084168336673278e+00,1.675888742014596255e+00
1.082164328657314600e+00,1.727337295851438581e+00
1.122244488977955923e+00,1.773731302623354988e+00
1.162324649298597246e+00,1.815689901295840070e+00
1.202404809619238346e+00,1.853882609558633821e+00
1.242484969939879669e+00,1.888999940509101805e+00
1.282565130260520991e+00,1.921723809485348600e+00
1.322645290581162314e+00,1.952702659005215891e+00
1.362725450901803637e+00,1.982529184085665142e+00
1.402805611222444737e+00,2.011722981189803416e+00
1.442885771543086060e+00,2.040716108311981358e+00
1.482965931863727382e+00,2.069844414574455005e+00
1.523046092184368705e+00,2.099343249737568140e+00
1.563126252505010028e+00,2.129347766374508844e+00
1.603206412825651128e+00,2.159896745111570926e+00
1.643286573146292451e+00,2.190941935886357328e+00
1.683366733466933773e+00,2.222359756820819321e+00
1.723446893787575096e+00,2.253966423003147312e+00
1.763527054108216419e+00,2.285534788201159184e+00
1.803607214428857741e+00,2.316814766276785065e+00
1.843687374749498842e+00,2.347551386391350636e+00
1.883767535070140164e+00,2.377505997307613139e+00
1.923847695390781487e+00,2.406473769985145061e+00
1.963927855711422810e+00,2.434301548005064042e+00
2.004008016032063910e+00,2.460899915719517494e+00
2.044088176352705233e+00,2.486253676114881461e+00
2.084168336673346555e+00,2.510426468000909850e+00
2.124248496993987878e+00,2.533559187177427230e+00
2.164328657314629201e+00,2.555863774945647648e+00
2.204408817635270523e+00,2.577611335011022575e+00
2.244488977955911846e+00,2.599116374823591258e+00
2.284569138276553169e+00,2.620717209537377190e+00
2.324649298597194491e+00,2.642755423140485060e+00
2.364729458917835370e+00,2.665555619700060941e+00
2.404809619238476692e+00,2.689405836892501789e+00
2.444889779559118015e+00,2.714541298296858862e+00
2.484969939879759337e+00,2.741131152491354417e+00
2.525050100200400660e+00,2.769269444080754816e+00
2.565130260521041983e+00,2.798970363853274357e+00
2.605210420841683305e+00,2.830168055953139028e+00
2.645290581162324628e+00,2.862720853658503373e+00
2.685370741482965951e+00,2.896419689675962417e+00
2.725450901803607273e+00,2.930999036834861737e+00
2.765531062124248596e+00,2.966150784850347222e+00
2.805611222444889474e+00,3.001539362384434639e+00
2.845691382765530797e+00,3.036816661930201722e+00
2.885771543086172120e+00,3.071637868114944325e+00
2.925851703406813442e+00,3.105674333282464783e+00
2.965931863727454765e+00,3.138626371689612782e+00
3.006012024048096087e+00,3.170234130636608860e+00
3.046092184368737410e+00,3.200285246192943411e+00
3.086172344689378733e+00,3.228619878588508296e+00
3.126252505010020055e+00,3.255135951891221957e+00
3.166332665330661378e+00,3.279788426630611653e+00
3.206412825651302256e+00,3.302588993412030938e+00
3.246492985971943579e+00,3.323604156294131862e+00
3.286573146292584902e+00,3.342949519758461552e+00
3.326653306613226224e+00,3.360785893191734264e+00
3.366733466933867547e+00,3.377314138801449150e+00
3.406813627254508869e+00,3.392768028880587039e+00
3.446893787575150192e+00,3.407407124404823406e+00
3.486973947895791515e+00,3.421507932984838352e+00
3.527054108216432837e+00,3.435351800338016570e+00
3.567134268537074160e+00,3.449215588496523210e+00
3.607214428857715482e+00,3.463358637991051481e+00
3.647294589178356361e+00,3.478015227635825823e+00
3.687374749498997684e+00,3.493385692708700585e+00
3.727454909819639006e+00,3.509629179082574435e+00
3.767535070140280329e+00,3.526858421688891632e+00
3.807615230460921651e+00,3.545137247790180357e+00
3.847695390781562974e+00,3.564480939725590769e+00
3.887775551102204297e+00,3.584859572098709535e+00
3.927855711422845619e+00,3.606200087872218241e+00
3.967935871743486942e+00,3.628401328209598375e+00
4.008016032064127820e+00,3.651336784784456224e+00
4.048096192384769587e+00,3.674863914284324906e+00
4.088176352705410466e+00,3.698828120004356901e+00
4.128256513026052232e+00,3.723074035926413394e+00
4.168336673346693111e+00,3.747448567706860079e+00
4.208416833667334878e+00,3.771808143645281497e+00
4.248496993987975756e+00,3.796012797751596946e+00
4.288577154308616635e+00,3.819933909841588981e+00
4.328657314629258401e+00,3.843470431913396546e+00
4.368737474949899280e+00,3.866564565454698510e+00
4.408817635270541047e+00,3.889215472099602167e+00
4.448897795591181925e+00,3.911484815698142992e+00
4.488977955911823692e+00,3.933487115567260162e+00
4.529058116232464570e+00,3.955371175529057481e+00
4.569138276553106337e+00,3.977303209932539829e+00
4.609218436873747216e+00,3.999454568700631985e+00
4.649298597194388982e+00,4.021969871223148196e+00
4.689378757515029861e+00,4.044967694118267509e+00
4.729458917835670739e+00,4.068515778486749390e+00
4.769539078156312506e+00,4.092610405249988759e+00
4.809619238476953385e+00,4.117160075504925132e+00
4.849699398797595151e+00,4.141979146564567671e+00
4.889779559118236030e+00,4.166806457295517241e+00
4.929859719438877796e+00,4.191332732108163484e+00
4.969939879759518675e+00,4.215215577385378332e+00
5.010020040080160442e+00,4.238100455069883310e+00
5.050100200400801320e+00,4.259643574438304547e+00
5.090180360721443087e+00,4.279532783299855758e+00
5.130260521042083965e+00,4.297502463472746115e+00
5.170340681362724844e+00,4.313346238229944341e+00
5.210420841683366611e+00,4.326929743216410884e+00
5.250501002004007489e+00,4.338203655164606154e+00
5.290581162324649256e+00,4.347201796134695151e+00
5.330661322645290134e+00,4.354033684476398491e+00
5.370741482965931901e+00,4.358872270483949762e+00
5.410821643286572780e+00,4.361939031993877336e+00
5.450901803607214546e+00,4.363491142474925866e+00
5.490981963927855425e+00,4.363784835261304451e+00
5.531062124248497192e+00,4.363063383758906788e+00
5.571142284569138070e+00,4.361567403031924250e+00
5.611222444889778949e+00,4.359528587864065052e+00
5.651302605210420715e+00,4.357168358725856727e+00
5.691382765531061594e+00,4.354691773659830289e+00
5.731462925851703361e+00,4.352286724852198141e+00
5.771543086172344239e+00,4.350130938605964559e+00
5.811623246492986006e+00,4.348387996105135933e+00
5.851703406813626884e+00,4.347199094306946066e+00
5.891783567134268651e+00,4.346673132620604285e+00
5.931863727454909530e+00,4.346877057416212331e+00
5.971943887775551296e+00,4.347830169311837523e+00
6.012024048096192175e+00,4.349497808677427635e+00
6.052104208416833053e+00,4.351789060755271166e+00
6.092184368737474820e+00,4.354572603423257249e+00
6.132264529058115698e+00,4.357693316423545404e+00
6.172344689378757465e+00,4.360987764216912588e+00
6.212424849699398344e+00,4.364283333089224115e+00
6.252505010020040110e+00,4.367427392502495564e+00
6.292585170340680989e+00,4.370303742896125776e+00
6.332665330661322756e+00,4.372843209058067337e+00
6.372745490981963634e+00,4.375027588596031691e+00
6.412825651302604513e+00,4.376884902300953506e+00
6.452905811623246279e+00,4.378474541941111298e+00
6.492985971943887158e+00,4.379862355682205610e+00
6.533066132264528925e+00,4.381090953331571392e+00
6.573146292585169803e+00,4.382161911767563645e+00
6.613226452905811570e+00,4.383034463058844921e+00
6.653306613226452448e+00,4.383618662238596642e+00
6.693386773547094215e+00,4.383783121717153897e+00
6.733466933867735094e+00,4.383384323366452229e+00
6.773547094188376860e+00,4.382280156403121296e+00
6.813627254509017739e+00,4.380346949065775597e+00
6.853707414829658617e+00,4.377494995610943462e+00
6.893787575150300384e+00,4.373692193041177845e+00
6.933867735470941263e+00,4.368949889585951318e+00
6.973947895791583029e+00,4.363295930136250611e+00
7.014028056112223908e+00,4.356780546100432083e+00
7.054108216432865675e+00,4.349465505931309650e+00
7.094188376753506553e+00,4.341468037864144591e+00
7.134268537074148320e+00,4.332947310193399737e+00
7.174348697394789198e+00,4.324085407473312159e+00
7.214428857715430965e+00,4.315063612032000506e+00
7.254509018036071843e+00,4.306044390180066017e+00
7.294589178356712722e+00,4.297147027694003363e+00
7.334669338677354489e+00,4.288437891386718270e+00
7.374749498997995367e+00,4.279934353356120269e+00
7.414829659318637134e+00,4.271619326780641934e+00
7.454909819639278012e+00,4.263383653926345218e+00
7.494989979959919779e+00,4.255072380767178863e+00
7.535070140280560658e+00,4.246537763209509819e+00
7.575150300601202424e+00,4.237641689553423241e+00
7.615230460921843303e+00,4.228266660162427470e+00
7.655310621242485070e+00,4.218323317420988872e+00
7.695390781563125948e+00,4.207766552152911288e+00
7.735470941883766827e+00,4.196583592291545095e+00
7.775551102204408593e+00,4.184786874910375154e+00
7.815631262525049472e+00,4.172387828467576831e+00
7.855711422845691239e+00,4.159453168575836912e+00
7.895791583166332117e+00,4.146106769223449007e+00
7.935871743486973884e+00,4.132521213944131411e+00
7.975951903807614762e+00,4.118906718177417048e+00
8.016032064128255641e+00,4.105501102388273260e+00
8.056112224448897408e+00,4.092558456256898403e+00
8.096192384769539174e+00,4.080335113776208722e+00
8.136272545090179165e+00,4.069034705898856963e+00
8.176352705410820931e+00,4.058815620058266127e+00
8.216432865731462698e+00,4.049795101505410777e+00
8.256513026052104465e+00,4.042041816812923294e+00
8.296593186372744455e+00,4.035560093051255848e+00
8.336673346693386222e+00,4.030279323305340000e+00
8.376753507014027988e+00,4.026047588483788076e+00
8.416833667334669755e+00,4.022639825907071476e+00
8.456913827655309746e+00,4.019770714481195384e+00
8.496993987975951512e+00,4.017112836802058773e+00
8.537074148296593279e+00,4.014314373870361941e+00
8.577154308617233269e+00,4.011018657492985362e+00
8.617234468937875036e+00,4.006876826512944412e+00
8.657314629258516803e+00,4.001559509453124441e+00
8.697394789579158569e+00,3.994781469954586939e+00
8.737474949899798560e+00,3.986325242258146329e+00
8.777555110220440326e+00,3.976041231356649330e+00
8.817635270541082093e+00,3.963850219101008321e+00
8.857715430861723860e+00,3.949748649980403759e+00
8.897795591182363850e+00,3.933789835619100117e+00
8.937875751503005617e+00,3.916086506774371312e+00
8.977955911823647384e+00,3.896816511300002173e+00
9.018036072144287374e+00,3.876230990768840368e+00
9.058116232464929141e+00,3.854619447829976675e+00
9.098196392785570907e+00,3.832326431338252792e+00
9.138276553106212674e+00,3.809773776334363315e+00
9.178356713426852664e+00,3.787446098419829266e+00
9.218436873747494431e+00,3.765874141508008588e+00
9.258517034068136198e+00,3.745607757366204993e+00
9.298597194388777964e+00,3.727179686043554430e+00
9.338677354709417955e+00,3.711065122664070515e+00
9.378757515030059722e+00,3.697640963938394698e+00
9.418837675350701488e+00,3.687103649392927451e+00
9.458917835671341479e+00,3.679448060744003435e+00
9.498997995991983245e+00,3.674484952412494732e+00
9.539078156312625012e+00,3.671878299267419266e+00
9.579158316633266779e+00,3.671176337112317611e+00
9.619238476953906769e+00,3.671867561512204947e+00
