Time,Entropy(log2)
0.000000000000000000e+00,-0.000000000000000000e+00
4.008016032064128098e-02,4.729476334415022915e-08
8.016032064128256196e-02,2.439104673385650694e-06
1.202404809619238429e-01,2.376565013073741618e-05
1.603206412825651239e-01,1.170348726742253002e-04
2.004008016032063910e-01,3.961743114376034677e-04
2.404809619238476859e-01,1.056881241182839291e-03
2.805611222444889807e-01,2.389716428141509721e-03
3.206412825651302478e-01,4.782827767277401249e-03
3.607214428857715149e-01,8.713215445337364057e-03
4.008016032064127820e-01,1.472678761523764888e-02
4.408817635270541047e-01,2.340863154163937837e-02
4.809619238476953718e-01,3.534627999443872709e-02
5.210420841683366389e-01,5.108869392785584523e-02
5.611222444889779615e-01,7.110490127620278100e-02
6.012024048096191731e-01,9.574528271853717520e-02
6.412825651302604957e-01,1.252090615131715157e-01
6.813627254509018183e-01,1.595198704814095036e-01
7.214428857715430299e-01,1.985108667095411561e-01
7.615230460921843525e-01,2.418217307026254426e-01
8.016032064128255641e-01,2.889053989388966071e-01
8.416833667334668867e-01,3.390458320502076073e-01
8.817635270541082093e-01,3.913840347884899873e-01
9.218436873747494209e-01,4.449533319421165034e-01
9.619238476953907435e-01,4.987184561717767917e-01
1.002004008016031955e+00,5.516196292413042546e-01
1.042084168336673278e+00,6.026174311761743896e-01
1.082164328657314600e+00,6.507379476508026173e-01
1.122244488977955923e+00,6.951148449563085974e-01
1.162324649298597246e+00,7.350268313039745038e-01
1.202404809619238346e+00,7.699289817496812738e-01
1.242484969939879669e+00,7.994766986680474918e-01
1.282565130260520991e+00,8.235401499543778536e-01
1.322645290581162314e+00,8.422088665654975381e-01
1.362725450901803637e+00,8.557859490239073663e-01
1.402805611222444737e+00,8.647713871351575543e-01
1.442885771543086060e+00,8.698344942075069142e-01
1.482965931863727382e+00,8.717765645123976004e-01
1.523046092184368705e+00,8.714849347116855327e-01
1.563126252505010028e+00,8.698793137802534048e-01
1.603206412825651128e+00,8.678542561402434741e-01
1.643286573146292451e+00,8.662214754445998199e-01
1.683366733466933773e+00,8.656575597812801171e-01
1.723446893787575096e+00,8.666613472441478949e-01
1.763527054108216419e+00,8.695287338891055651e-01
1.803607214428857741e+00,8.743469467929402272e-01
1.843687374749498842e+00,8.810091672983246802e-01
1.883767535070140164e+00,8.892443708430830540e-01
1.923847695390781487e+00,8.986587323770074409e-01
1.963927855711422810e+00,9.087811497024661511e-01
2.004008016032063910e+00,9.191080237795434815e-01
2.044088176352705233e+00,9.291427602243385042e-01
2.084168336673346555e+00,9.384284345356409540e-01
2.124248496993987878e+00,9.465728186013971923e-01
2.164328657314629201e+00,9.532651729752278369e-01
2.204408817635270523e+00,9.582856607985204000e-01
2.244488977955911846e+00,9.615074975508555166e-01
2.284569138276553169e+00,9.628945687615617643e-01
2.324649298597194491e+00,9.624943421906143604e-01
2.364729458917835370e+00,9.604280156832356585e-01
2.404809619238476692e+00,9.568778595655942354e-01
2.444889779559118015e+00,9.520754265204655065e-01
2.484969939879759337e+00,9.462885725678299442e-01
2.525050100200400660e+00,9.398105682086375090e-01
2.565130260521041983e+00,9.329489497137953835e-01
2.605210420841683305e+00,9.260175491893352095e-01
2.645290581162324628e+00,9.193295042705406095e-01
2.685370741482965951e+00,9.131904663636166708e-01
2.725450901803607273e+00,9.078925773395271070e-01
2.765531062124248596e+00,9.037093809242342513e-01
2.805611222444889474e+00,9.008891419946863932e-01
2.845691382765530797e+00,8.996478917864907388e-01
2.885771543086172120e+00,9.001633576257448421e-01
2.925851703406813442e+00,9.025682593785154806e-01
2.965931863727454765e+00,9.069444921205321863e-01
3.006012024048096087e+00,9.133165714158661963e-01
3.046092184368737410e+00,9.216480433271151407e-01
3.086172344689378733e+00,9.318373562658984754e-01
3.126252505010020055e+00,9.437163058698675444e-01
3.166332665330661378e+00,9.570505358021259568e-01
3.206412825651302256e+00,9.715432350798646199e-01
3.246492985971943579e+00,9.868407411964248421e-01
3.286573146292584902e+00,1.002542681325153895e+00
3.326653306613226224e+00,1.018213556424822031e+00
3.366733466933867547e+00,1.033398821082694319e+00
3.406813627254508869e+00,1.047642757492736942e+00
3.446893787575150192e+00,1.060506797952616154e+00
3.486973947895791515e+00,1.071590394319101636e+00
3.527054108216432837e+00,1.080550913076759656e+00
3.567134268537074160e+00,1.087122152193433999e+00
3.607214428857715482e+00,1.091130762469609161e+00
3.647294589178356361e+00,1.092509459279682682e+00
3.687374749498997684e+00,1.091306128041647838e+00
3.727454909819639006e+00,1.087686629255022464e+00
3.767535070140280329e+00,1.081932628804040952e+00
3.807615230460921651e+00,1.074432673444433384e+00
3.847695390781562974e+00,1.065666821314850798e+00
3.887775551102204297e+00,1.056183346267717926e+00
3.927855711422845619e+00,1.046571294357714121e+00
3.967935871743486942e+00,1.037428178323736017e+00
4.008016032064127820e+00,1.029325273348863590e+00
4.048096192384769587e+00,1.022771883561662154e+00
4.088176352705410466e+00,1.018185466077402346e+00
4.128256513026052232e+00,1.015864642770159421e+00
4.168336673346693111e+00,1.015973110760172604e+00
4.208416833667334878e+00,1.018533280746279912e+00
4.248496993987975756e+00,1.023428878703378730e+00
4.288577154308616635e+00,1.030419313239919088e+00
4.328657314629258401e+00,1.039160999155232412e+00
4.368737474949899280e+00,1.049235418246684759e+00
4.408817635270541047e+00,1.060177453365634737e+00
4.448897795591181925e+00,1.071506375585705939e+00
4.488977955911823692e+00,1.082753164378035926e+00
4.529058116232464570e+00,1.093485314033640021e+00
4.569138276553106337e+00,1.103325564712898776e+00
4.609218436873747216e+00,1.111966199818484879e+00
4.649298597194388982e+00,1.119178347141656538e+00
4.689378757515029861e+00,1.124816343716405598e+00
4.729458917835670739e+00,1.128818223085890526e+00
4.769539078156312506e+00,1.131201056776138802e+00
4.809619238476953385e+00,1.132056460785137775e+00
4.849699398797595151e+00,1.131541040162913569e+00
4.889779559118236030e+00,1.129867002325213754e+00
4.929859719438877796e+00,1.127291319814048620e+00
4.969939879759518675e+00,1.124105001345262034e+00
5.010020040080160442e+00,1.120620190591500753e+00
5.050100200400801320e+00,1.117159581005559676e+00
5.090180360721443087e+00,1.114043186134379804e+00
5.130260521042083965e+00,1.111577300223267173e+00
5.170340681362724844e+00,1.110044207061121613e+00
5.210420841683366611e+00,1.109689989482682604e+00
5.250501002004007489e+00,1.110715638770657376e+00
5.290581162324649256e+00,1.113269337265889281e+00
5.330661322645290134e+00,1.117441608715131762e+00
5.370741482965931901e+00,1.123259055338667878e+00
5.410821643286572780e+00,1.130687029052777959e+00
5.450901803607214546e+00,1.139627455370777920e+00
5.490981963927855425e+00,1.149925534960747342e+00
5.531062124248497192e+00,1.161372530016758775e+00
5.571142284569138070e+00,1.173714452821459586e+00
5.611222444889778949e+00,1.186659940999518881e+00
5.651302605210420715e+00,1.199890427055647635e+00
5.691382765531061594e+00,1.213071081284258446e+00
5.731462925851703361e+00,1.225862384453075382e+00
5.771543086172344239e+00,1.237933764397754821e+00
5.811623246492986006e+00,1.248977062698054752e+00
5.851703406813626884e+00,1.258720757643038146e+00
5.891783567134268651e+00,1.266941423517926157e+00
5.931863727454909530e+00,1.273478752392035451e+00
5.971943887775551296e+00,1.278243669911391489e+00
6.012024048096192175e+00,1.281228077129453302e+00
6.052104208416833053e+00,1.282510059613175546e+00
6.092184368737474820e+00,1.282255398162755577e+00
6.132264529058115698e+00,1.280715616137991342e+00
