# time correlation fidelity
0.000000000000000000e+00 -1.058823529411764719e+00 1.000000000000000000e+00
4.008016032064128098e-02 -1.057973350084069120e+00 9.963925324903528669e-01
8.016032064128256196e-02 -1.055424185606778309e+00 9.856451543664432879e-01
1.202404809619238429e-01 -1.051180132172643944e+00 9.679803902248874659e-01
1.603206412825651239e-01 -1.045248083812746254e+00 9.437610581765534246e-01
2.004008016032063910e-01 -1.037637687611290271e+00 9.134781078865971127e-01
2.404809619238476859e-01 -1.028361408741231164e+00 8.777347376938544610e-01
2.805611222444889807e-01 -1.017434717393113974e+00 8.372275592642137720e-01
3.206412825651302478e-01 -1.004875933513746933e+00 7.927240457490217773e-01
3.607214428857715149e-01 -9.907063330419820790e-01 7.450393207403736007e-01
4.008016032064127820e-01 -9.749502565200851567e-01 6.950123593913415387e-01
4.408817635270541047e-01 -9.576352491286853619e-01 6.434825029495958582e-01
4.809619238476953718e-01 -9.387920869999059059e-01 5.912668211539372498e-01
5.210420841683366389e-01 -9.184547096606207051e-01 5.391394335905999036e-01
5.611222444889779615e-01 -8.966604431550566634e-01 4.878142774412522198e-01
6.012024048096191731e-01 -8.734501311128067824e-01 4.379306877485211746e-01
6.412825651302604957e-01 -8.488682310312798407e-01 3.900423838140361088e-01
6.813627254509018183e-01 -8.229625933046073039e-01 3.446098513773038774e-01
7.214428857715430299e-01 -7.957847328039471257e-01 3.019972022238149867e-01
7.615230460921843525e-01 -7.673899292865602462e-01 2.624720960075955234e-01
8.016032064128255641e-01 -7.378373787391070415e-01 2.262088138037886276e-01
8.416833667334668867e-01 -7.071898105976270887e-01 1.932938246333577026e-01
8.817635270541082093e-01 -6.755137214322091133e-01 1.637341106193763718e-01
9.218436873747494209e-01 -6.428794402435570321e-01 1.374668981115785560e-01
9.619238476953907435e-01 -6.093612708383201459e-01 1.143704646737514902e-01
1.002004008016031955e+00 -5.750370100027226705e-01 9.427543587396361446e-02
1.042084168336673278e+00 -5.399880124515189506e-01 7.697630716198729239e-02
1.082164328657314600e+00 -5.042992397074596012e-01 6.224244525731580796e-02
1.122244488977955923e+00 -4.680592947971132234e-01 4.982827020400591722e-02
1.162324649298597246e+00 -4.313599696579939469e-01 3.948240124713160021e-02
1.202404809619238346e+00 -3.942959820923262471e-01 3.095556172490978100e-02
1.242484969939879669e+00 -3.569650382775746422e-01 2.400704350046195534e-02
1.282565130260520991e+00 -3.194677036729552944e-01 1.840976073390441711e-02
1.322645290581162314e+00 -2.819070352677763291e-01 1.395395533692164562e-02
1.362725450901803637e+00 -2.443879515858750906e-01 1.044964047856326503e-02
1.402805611222444737e+00 -2.070172845779041926e-01 7.727834474328367648e-03
1.442885771543086060e+00 -1.699035023264415523e-01 5.640845853042471096e-03
1.482965931863727382e+00 -1.331563926091736960e-01 4.061766138274803574e-03
1.523046092184368705e+00 -9.688616791896928482e-02 2.883367527938813287e-03
