# time correlation overlap_with_initial
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.008016032064128098e-02 9.935846384729086767e-01 9.714758703405387275e-01
8.016032064128256196e-02 9.744617714726723223e-01 8.904427871101607828e-01
1.202404809619238429e-01 9.429977251750336631e-01 7.693981944952408281e-01
1.603206412825651239e-01 8.997911532139795110e-01 6.257943220301901421e-01
2.004008016032063910e-01 8.456560765392453494e-01 4.780985528343020263e-01
2.404809619238476859e-01 7.816001339734099940e-01 3.420918288233972260e-01
2.805611222444889807e-01 7.087957583006423423e-01 2.283712327939287634e-01
3.206412825651302478e-01 6.285498920629843944e-01 1.415314879910096468e-01
3.607214428857715149e-01 5.422688898445260364e-01 8.090720755361850702e-02
4.008016032064127820e-01 4.514248837535723147e-01 4.230989143677359177e-02
4.408817635270541047e-01 3.575199875845950781e-01 2.002161675243973107e-02
4.809619238476953718e-01 2.620541805167678762e-01 8.450526322599358556e-03
5.210420841683366389e-01 1.664911565941107341e-01 3.119174047699540663e-03
5.611222444889779615e-01 7.223232915788492525e-02 9.792572336095118138e-04
6.012024048096191731e-01 -1.940681986082171476e-02 2.509809887286273858e-04
6.412825651302604957e-01 -1.072210983938492873e-01 4.920003365787836756e-05
6.813627254509018183e-01 -1.901284997249925723e-01 6.587110325815197295e-06
7.214428857715430299e-01 -2.671811288141759388e-01 4.774694905336860814e-07
7.615230460921843525e-01 -3.375741434963680510e-01 9.665471728428507563e-09
8.016032064128255641e-01 -4.006486013252179568e-01 4.915878274209314355e-12
8.416833667334668867e-01 -4.558891481378424815e-01 8.064534114171693769e-12
8.817635270541082093e-01 -5.029234461077883855e-01 2.603352188110202514e-11
9.218436873747494209e-01 -5.415144575498217483e-01 2.119489629095876127e-10
9.619238476953907435e-01 -5.715527993368175741e-01 7.214568035184316541e-11
1.002004008016031955e+00 -5.930488159214569732e-01 3.389913712871784263e-09
1.042084168336673278e+00 -6.061216794257170415e-01 6.417712182443035289e-09
1.082164328657314600e+00 -6.109894907827305710e-01 3.880548334142960093e-12
1.122244488977955923e+00 -6.079591751094953755e-01 4.580386601499943946e-08
1.162324649298597246e+00 -5.974164577490275185e-01 2.727357546780723691e-07
1.202404809619238346e+00 -5.798159422992091860e-01 5.940774158651188772e-07
1.242484969939879669e+00 -5.556728556375954975e-01 5.187485579008136793e-07
1.282565130260520991e+00 -5.255547851774488022e-01 1.114781382208435271e-08
1.322645290581162314e+00 -4.900739618838406697e-01 1.613547247504816243e-06
1.362725450901803637e+00 -4.498794495514537028e-01 1.177077569945964419e-05
1.402805611222444737e+00 -4.056507995662760324e-01 3.768593519923385879e-05
1.442885771543086060e+00 -3.580913408825946997e-01 7.836411577748125432e-05
