# time correlation overlap_with_initial
0.000000000000000000e+00 -7.647058823529411242e-01 1.000000000000000000e+00
4.008016032064128098e-02 -7.622503243551654872e-01 9.888150719266309840e-01
8.016032064128256196e-02 -7.548994286402022080e-01 9.559704669403690236e-01
1.202404809619238429e-01 -7.427007705044337271e-01 9.035258540071329225e-01
1.603206412825651239e-01 -7.257343138223835144e-01 8.346863948428753233e-01
2.004008016032063910e-01 -7.041135184024414073e-01 7.534930675681962287e-01
2.404809619238476859e-01 -6.779862987282212483e-01 6.644453983044756873e-01
2.805611222444889807e-01 -6.475361913862266450e-01 5.721052195984877020e-01
3.206412825651302478e-01 -6.129841121872653398e-01 4.807292772145000948e-01
3.607214428857715149e-01 -5.745895552680031493e-01 3.939666299422182050e-01
4.008016032064127820e-01 -5.326512496570899868e-01 3.146497612631835028e-01
4.408817635270541047e-01 -4.875083655834943630e-01 2.446935538068005511e-01
4.809619238476953718e-01 -4.395408779402911748e-01 1.850958120666802431e-01
5.210420841683366389e-01 -3.891679370860587350e-01 1.360275274408338231e-01
5.611222444889779615e-01 -3.368474446264934086e-01 9.698443364080877593e-02
6.012024048096191731e-01 -2.830723291077325565e-01 6.697416409271453319e-02
6.412825651302604957e-01 -2.283704536542039976e-01 4.470933811296160659e-02
6.813627254509018183e-01 -1.732960611922556016e-01 2.878583506894853358e-02
7.214428857715430299e-01 -1.184271002691717617e-01 1.782634653017332871e-02
7.615230460921843525e-01 -6.435761170599171854e-02 1.058357063031523451e-02
8.016032064128255641e-01 -1.168981094525994337e-02 6.000141599542014627e-03
8.416833667334668867e-01 3.897409657289533508e-02 3.232462195108704982e-03
8.817635270541082093e-01 8.703968754523030982e-02 1.644731828285860226e-03
9.218436873747494209e-01 1.319337541345613207e-01 7.843051633287256592e-04
9.619238476953907435e-01 1.731096099612321193e-01 3.469777682218668120e-04
1.002004008016031955e+00 2.100612301422238037e-01 1.404925189427424115e-04
1.042084168336673278e+00 2.423300042762615847e-01 5.108241829994945729e-05
