# time correlation overlap_with_initial
0.000000000000000000e+00 -5.882352941176470507e-02 1.000000000000000000e+00
4.008016032064128098e-02 -5.825794861501121941e-02 9.872278906944950139e-01
8.016032064128256196e-02 -5.657782073142265250e-02 9.498472772172446010e-01
1.202404809619238429e-01 -5.383261181534124834e-02 8.905555965196166879e-01
1.603206412825651239e-01 -5.010362162474036457e-02 8.135010569322770335e-01
2.004008016032063910e-01 -4.550198987321128763e-02 7.238152575085591289e-01
2.404809619238476859e-01 -4.016628031946452987e-02 6.270659093026620390e-01
2.805611222444889807e-01 -3.425917639684765426e-02 5.287036252965271466e-01
3.206412825651302478e-01 -2.796390286697993457e-02 4.335812222848497433e-01
3.607214428857715149e-01 -2.147998488467907016e-02 3.455972172945450116e-01
4.008016032064127820e-01 -1.501872236130661654e-02 2.674958983884074826e-01
4.408817635270541047e-01 -8.798474219977562780e-03 2.008263434337167475e-01
4.809619238476953718e-01 -3.039512949227044913e-03 1.460381583337240496e-01
5.210420841683366389e-01 2.040752250490950742e-03 1.026780076628798360e-01
5.611222444889779615e-01 6.233098230593819497e-03 6.963970120164614253e-02
6.012024048096191731e-01 9.341041743430349847e-03 4.542570109053058192e-02
6.412825651302604957e-01 1.118584393166320058e-02 2.838360652711097165e-02
6.813627254509018183e-01 1.161063127083602001e-02 1.689463844016296859e-02
7.214428857715430299e-01 1.048465082709332079e-02 9.503884925353337995e-03
7.615230460921843525e-01 7.706749627171720525e-03 4.992776374892853725e-03
8.016032064128255641e-01 3.208576377413369096e-03 2.402992969566163529e-03
8.416833667334668867e-01 -3.042824404803022229e-03 1.024445734902104145e-03
8.817635270541082093e-01 -1.104303177344263982e-02 3.613585956633547330e-04
9.218436873747494209e-01 -2.074882938194798007e-02 8.849933218959859019e-05
9.619238476953907435e-01 -3.207749770573607717e-02 6.760539075303437145e-06
1.002004008016031955e+00 -4.490688033593120271e-02 3.884327405589609905e-06
1.042084168336673278e+00 -5.907595142280307882e-02 2.309975669367899244e-05
1.082164328657314600e+00 -7.438658945158703462e-02 4.019565257237339402e-05
1.122244488977955923e+00 -9.060546929541217487e-02 4.811641561434807708e-05
1.162324649298597246e+00 -1.074675782759975107e-01 4.750168510340434415e-05
1.202404809619238346e+00 -1.246795311335807954e-01 4.146516666657147773e-05
1.242484969939879669e+00 -1.419246656278469743e-01 3.311485586880798297e-05
1.282565130260520991e+00 -1.588678378957623927e-01 2.466026852102919434e-05
1.322645290581162314e+00 -1.751617674898018340e-01 1.732198422291623307e-05
1.362725450901803637e+00 -1.904532296458756879e-01 1.155895310647372407e-05
1.402805611222444737e+00 -2.043901931231167923e-01 7.358968581411100274e-06
1.442885771543086060e+00 -2.166291028447653588e-01 4.479175723640051507e-06
1.482965931863727382e+00 -2.268422795458070740e-01 2.606550696110354457e-06
1.523046092184368705e+00 -2.347257144687335262e-01 1.446709611305625244e-06
1.563126252505010028e+00 -2.400062031023894038e-01 7.613529236549453965e-07
1.603206412825651128e+00 -2.424487919005716419e-01 3.754992461306762845e-07
1.643286573146292451e+00 -2.418631426516172078e-01 1.696550875876318773e-07
1.683366733466933773e+00 -2.381096889622677515e-01 6.700418673736111513e-08
1.723446893787575096e+00 -2.311046460069361430e-01 2.069064749559976137e-08
1.763527054108216419e+00 -2.208240771929401713e-01 3.449390082836973242e-09
1.803607214428857741e+00 -2.073068911711925255e-01 6.793877334370337317e-12
1.843687374749498842e+00 -1.906562888672066192e-01 1.933511308897210375e-09
1.883767535070140164e+00 -1.710401124849476318e-01 4.415546499157087073e-09
1.923847695390781487e+00 -1.486894769338874267e-01 4.606802144159927153e-09
1.963927855711422810e+00 -1.238959876868332144e-01 1.772581601113671089e-09
2.004008016032063910e+00 -9.700769929508278044e-02 4.792820615722327352e-10
2.044088176352705233e+00 -6.842302895861676615e-02 1.991014664359896759e-08
2.084168336673346555e+00 -3.858440197404146288e-02 1.153410940182186435e-07
2.124248496993987878e+00 -7.969233777312923275e-03 4.221081754075418125e-07
2.164328657314629201e+00 2.291831782418572369e-02 1.237741824932763180e-06
2.204408817635270523e+00 5.355840164911752216e-02 3.163120346366174198e-06
2.244488977955911846e+00 8.342506758187592797e-02 7.325659773149497600e-06
2.284569138276553169e+00 1.119981330003225611e-01 1.570208465912167916e-05
2.324649298597194491e+00 1.387733954810671799e-01 3.154001635355206380e-05
2.364729458917835370e+00 1.632740160254061157e-01 5.983954764807124086e-05
2.404809619238476692e+00 1.850604557993620336e-01 1.077998955728079727e-04
2.444889779559118015e+00 2.037401976378846180e-01 1.850632222259505997e-04
2.484969939879759337e+00 2.189764119258604813e-01 3.035210249809098203e-04
2.525050100200400660e+00 2.304951357251257549e-01 4.764162594376908540e-04
2.565130260521041983e+00 2.380916651474203616e-01 7.165054312414878166e-04
2.605210420841683305e+00 2.416347280927133856e-01 1.033203394358258188e-03
2.645290581162324628e+00 2.410697250093605248e-01 1.428876319089642227e-03
2.685370741482965951e+00 2.364197930523591618e-01 1.894833259575063765e-03
2.725450901803607273e+00 2.277854349931582034e-01 2.407925939293148899e-03
2.765531062124248596e+00 2.153425295807323558e-01 2.928942928857192901e-03
2.805611222444889474e+00 1.993384472562340359e-01 3.404038002528318556e-03
2.845691382765530797e+00 1.800871813500788954e-01 3.770021280868702564e-03
2.885771543086172120e+00 1.579625385846804009e-01 3.963687681160674332e-03
2.925851703406813442e+00 1.333907039304088327e-01 3.934164037946223831e-03
2.965931863727454765e+00 1.068414258708345471e-01 3.656206497146041734e-03
3.006012024048096087e+00 7.881848896304653740e-02 3.141402879341159953e-03
3.046092184368737410e+00 4.984994101360436941e-02 2.443961194775794155e-03
3.086172344689378733e+00 2.047715595212026493e-02 1.658405274434815099e-03
3.126252505010020055e+00 -8.754992569875066910e-03 9.079204765377300607e-04
3.166332665330661378e+00 -3.730949021651216307e-02 3.243658319806987057e-04
3.206412825651302256e+00 -6.466645964457311269e-02 2.325155894440629757e-05
3.246492985971943579e+00 -9.033384173776974613e-02 7.882523367474217238e-05
3.286573146292584902e+00 -1.138556674648962541e-01 5.051513812776635371e-04
3.326653306613226224e+00 -1.348211046207421215e-01 1.248259567691998705e-03
3.366733466933867547e+00 -1.528713090818965004e-01 2.192213452315216679e-03
3.406813627254508869e+00 -1.677061561345157548e-01 3.178799861435620266e-03
3.446893787575150192e+00 -1.790892537102027893e-01 4.037104391853949155e-03
3.486973947895791515e+00 -1.868520019214285066e-01 4.616729984798993193e-03
3.527054108216432837e+00 -1.908963449800682721e-01 4.817286786138744864e-03
3.567134268537074160e+00 -1.911961126270611822e-01 4.607541152422478872e-03
3.607214428857715482e+00 -1.877971257944635597e-01 4.030102261976143720e-03
3.647294589178356361e+00 -1.808159922142888731e-01 3.190932127979695474e-03
3.687374749498997684e+00 -1.704373619661383454e-01 2.236493067741989957e-03
3.727454909819639006e+00 -1.569104007792934685e-01 1.324155259194500101e-03
3.767535070140280329e+00 -1.405433295368073154e-01 5.924729324492108637e-04
3.807615230460921651e+00 -1.216977659956717112e-01 1.377046383328571618e-04
3.847695390781562974e+00 -1.007810275748462492e-01 7.244419525357384203e-07
3.887775551102204297e+00 -7.823856598590429867e-02 1.659477010400826219e-04
3.927855711422845619e+00 -5.454476741527400363e-02 5.709442374830279131e-04
3.967935871743486942e+00 -3.019383000469150202e-02 1.123367593297158479e-03
4.008016032064127820e+00 -5.689934819267776674e-03 1.720746556892115099e-03
