# time correlation overlap_with_initial
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00
4.008016032064128098e-02 -9.968163185175867858e-01 9.857884745264110515e-01
8.016032064128256196e-02 -9.872855784135737833e-01 9.443108288319475019e-01
1.202404809619238429e-01 -9.714690358202658915e-01 8.788880670579880539e-01
1.603206412825651239e-01 -9.494702029818584688e-01 7.945825159017839701e-01
2.004008016032063910e-01 -9.214358680920596845e-01 6.975700181198908334e-01
2.404809619238476859e-01 -8.875584844630082237e-01 5.944181772408712039e-01
2.805611222444889807e-01 -8.480777939455828029e-01 4.913773298610920048e-01
3.206412825651302478e-01 -8.032838661378043366e-01 3.937934637229223434e-01
3.607214428857715149e-01 -7.535185978803211615e-01 3.057070009898492646e-01
4.008016032064127820e-01 -6.991784589266722971e-01 2.296757286458888381e-01
4.408817635270541047e-01 -6.407150852657480522e-01 1.668066651511649900e-01
4.809619238476953718e-01 -5.786366894490383439e-01 1.169588197818421105e-01
5.210420841683366389e-01 -5.135069228316483381e-01 7.905132039732602756e-02
5.611222444889779615e-01 -4.459439339517720091e-01 5.141188789314494328e-02
6.012024048096191731e-01 -3.766167715546829831e-01 3.210570401696480336e-02
6.412825651302604957e-01 -3.062413054916706678e-01 1.920382028075775030e-02
6.813627254509018183e-01 -2.355736960648848466e-01 1.096989293712580769e-02
7.214428857715430299e-01 -1.654027962966066190e-01 5.963490730596278031e-03
7.615230460921843525e-01 -9.654062287057911529e-02 3.072147754273871125e-03
8.016032064128255641e-01 -2.981139142751203230e-02 1.492048353349431471e-03
8.416833667334668867e-01 3.396056606941715017e-02 6.788065531837398150e-04
8.817635270541082093e-01 9.396438648756302858e-02 2.869703791706691991e-04
9.218436873747494209e-01 1.494163456756509856e-01 1.115735847509005435e-04
9.619238476953907435e-01 1.995747617649122341e-01 3.935367032251886057e-05
1.002004008016031955e+00 2.437538569644536190e-01 1.235949899915011908e-05
1.042084168336673278e+00 2.813382728147371670e-01 3.365302356687760116e-06
1.082164328657314600e+00 3.117954902893524949e-01 7.628994377609551345e-07
1.122244488977955923e+00 3.346880971331085419e-01 1.346098552195000012e-07
1.162324649298597246e+00 3.496831610205484719e-01 1.624685474333072630e-08
1.202404809619238346e+00 3.565605429673438520e-01 9.657802898529347296e-10
1.242484969939879669e+00 3.552179347550087907e-01 4.288945131196901742e-12
