# time correlation overlap_with_initial
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00
4.008016032064128098e-02 -9.967708543168793955e-01 9.855841910225029423e-01
8.016032064128256196e-02 -9.871042947361803321e-01 9.435270648695396334e-01
1.202404809619238429e-01 -9.710633147159496437e-01 8.772432574934285743e-01
1.603206412825651239e-01 -9.487543458219921400e-01 7.919309037323679634e-01
2.004008016032063910e-01 -9.203283600192059266e-01 6.939185433767818267e-01
2.404809619238476859e-01 -8.859832171963257785e-01 5.899159163415862439e-01
2.805611222444889807e-01 -8.459655308449912647e-01 4.862823341180000369e-01
3.206412825651302478e-01 -8.005734646501081464e-01 3.884242029840189181e-01
3.607214428857715149e-01 -7.501587160555559519e-01 3.003904736080633131e-01
4.008016032064127820e-01 -6.951286796272304613e-01 2.247006124852405362e-01
4.408817635270541047e-01 -6.359478003053699036e-01 1.623906450741799401e-01
4.809619238476953718e-01 -5.731379891131838100e-01 1.132322452237906896e-01
5.210420841683366389e-01 -5.072784856584602320e-01 7.605792361743897445e-02
5.611222444889779615e-01 -4.390035011468629844e-01 4.912226180223773497e-02
6.012024048096191731e-01 -3.689997931284738630e-01 3.043857835508353982e-02
6.412825651302604957e-01 -2.980007922940444698e-01 1.804947730846124393e-02
6.813627254509018183e-01 -2.267813325938119184e-01 1.021105150786720192e-02
7.214428857715430299e-01 -1.561479804257231985e-01 5.491027939856470315e-03
7.615230460921843525e-01 -8.693076285888119703e-02 2.794421890062813441e-03
8.016032064128255641e-01 -1.997001280699833153e-02 1.338563162422298780e-03
8.416833667334668867e-01 4.389455258137638094e-02 5.994825881811130042e-04
8.817635270541082093e-01 1.038395166491638960e-01 2.489007535064563731e-04
9.218436873747494209e-01 1.590704456375137688e-01 9.476041282790436944e-05
9.619238476953907435e-01 2.088385798126256021e-01 3.260365256657214890e-05
1.002004008016031955e+00 2.524539255596996989e-01 9.936837513673597351e-06
1.042084168336673278e+00 2.893010560386356511e-01 2.606357554623896644e-06
1.082164328657314600e+00 3.188509766365462128e-01 5.627611164424983924e-07
1.122244488977955923e+00 3.406740647904190067e-01 9.275449354481548233e-08
1.162324649298597246e+00 3.544490399629621757e-01 1.004306317950824935e-08
1.202404809619238346e+00 3.599713517426594844e-01 4.709565972490445547e-10
1.242484969939879669e+00 3.571578327467755942e-01 8.759568584915762202e-14
1.282565130260520991e+00 3.460494574968986381e-01 3.526150396092124241e-12
1.322645290581162314e+00 3.268107524145758003e-01 4.371472290267147663e-14
1.362725450901803637e+00 2.997266894449302499e-01 1.176741942490383699e-15
1.402805611222444737e+00 2.651966173358885626e-01 1.261967479618337455e-12
1.442885771543086060e+00 2.237259096323498675e-01 3.605846400426115520e-12
1.482965931863727382e+00 1.759149771619933356e-01 1.617229566288175515e-12
1.523046092184368705e+00 1.224470007960845597e-01 6.190979748231517736e-13
1.563126252505010028e+00 6.407329400639175110e-02 1.150495731820161939e-11
1.603206412825651128e+00 1.598915148567168348e-03 2.917437416669532334e-11
1.643286573146292451e+00 -6.413388269508812911e-02 3.425293277471585248e-11
1.683366733466933773e+00 -1.322602204492092093e-01 1.885456869415667555e-11
1.723446893787575096e+00 -2.019091683133278359e-01 1.283621124148802049e-12
1.763527054108216419e+00 -2.722167419528522259e-01 9.646273603187226572e-12
1.803607214428857741e+00 -3.423407870407669806e-01 5.234587436430319707e-11
1.843687374749498842e+00 -4.114711067245739318e-01 1.069459587348006642e-10
1.883767535070140164e+00 -4.788413714507627761e-01 1.380065076602360003e-10
1.923847695390781487e+00 -5.437357001240032961e-01 1.258322796922376993e-10
1.963927855711422810e+00 -6.054968960167335101e-01 8.044783629917793649e-11
2.004008016032063910e+00 -6.635294522154673302e-01 3.111693468274528006e-11
2.044088176352705233e+00 -7.173040294867840672e-01 3.303218683863520343e-12
2.084168336673346555e+00 -7.663574124074521432e-01 2.778350825029374042e-12
2.124248496993987878e+00 -8.102936808265607249e-01 1.700635624996740684e-11
2.164328657314629201e+00 -8.487820180991628716e-01 2.874069118158219426e-11
2.204408817635270523e+00 -8.815554091271027293e-01 2.889287063236465901e-11
2.244488977955911846e+00 -9.084073484924785058e-01 1.969904965229659221e-11
2.284569138276553169e+00 -9.291891012590087762e-01 8.911113813871301638e-12
2.324649298597194491e+00 -9.438062654888305092e-01 2.209965109202877192e-12
2.364729458917835370e+00 -9.522156645069338454e-01 1.167028164392112922e-13
2.404809619238476692e+00 -9.544224607442658437e-01 1.067672467949125912e-13
2.444889779559118015e+00 -9.504775624178070093e-01 1.549843990723208330e-13
2.484969939879759337e+00 -9.404756835697797301e-01 1.878336032308746031e-14
2.525050100200400660e+00 -9.245538103168344790e-01 1.387603529598694370e-14
2.565130260521041983e+00 -9.028902655376401798e-01 3.770057521415461033e-15
2.605210420841683305e+00 -8.757043891372903177e-01 1.028264074264755820e-12
2.645290581162324628e+00 -8.432563392651568623e-01 8.933538749950943509e-12
2.685370741482965951e+00 -8.058477618373444118e-01 3.650887322472468129e-11
2.725450901803607273e+00 -7.638217931897999247e-01 1.006784705679306317e-10
2.765531062124248596e+00 -7.175641783492890946e-01 2.144547501289762068e-10
2.805611222444889474e+00 -6.675027734281104852e-01 3.773185630282282361e-10
2.845691382765530797e+00 -6.141083611086660676e-01 5.694019687430123145e-10
2.885771543086172120e+00 -5.578929136313564019e-01 7.531752336528146213e-10
2.925851703406813442e+00 -4.994092770294135675e-01 8.820988250597648557e-10
2.965931863727454765e+00 -4.392475612235274274e-01 9.123406623571206577e-10
3.006012024048096087e+00 -3.780329634896275603e-01 8.134885116200686235e-10
3.046092184368737410e+00 -3.164206673427523708e-01 5.794972148763611236e-10
3.086172344689378733e+00 -2.550884683510561413e-01 2.531173229646772034e-10
3.126252505010020055e+00 -1.947316714491264811e-01 6.161865679431227346e-12
3.166332665330661378e+00 -1.360552644718710236e-01 3.765889944274810626e-10
3.206412825651302256e+00 -7.976273663549390824e-02 2.912644203284195386e-09
3.246492985971943579e+00 -2.654678633065834722e-02 1.180849276938238990e-08
3.286573146292584902e+00 2.292127750488075211e-02 3.783767629057729327e-08
3.326653306613226224e+00 6.800255552961541328e-02 1.073577482404020455e-07
3.366733466933867547e+00 1.081028589524512529e-01 2.819888656551606730e-07
3.406813627254508869e+00 1.426839816201364575e-01 6.997452512480350506e-07
3.446893787575150192e+00 1.712736675140369702e-01 1.657349302240087793e-06
