# time correlation overlap_with_initial
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00
4.008016032064128098e-02 -9.965905545525773901e-01 9.847616637172250664e-01
8.016032064128256196e-02 -9.863854980847648335e-01 9.403761049269879768e-01
1.202404809619238429e-01 -9.694551483219918664e-01 8.706475022673793029e-01
1.603206412825651239e-01 -9.459182447339381516e-01 7.813357392311980343e-01
2.004008016032063910e-01 -9.159436466705248581e-01 6.793957094842575373e-01
2.404809619238476859e-01 -8.797524219461175798e-01 5.721112588341933369e-01
2.805611222444889807e-01 -8.376210356315337835e-01 4.662706331041225338e-01
3.206412825651302478e-01 -7.898833354484142699e-01 3.675028105425505176e-01
3.607214428857715149e-01 -7.369341771357335036e-01 2.798635265943270056e-01
4.008016032064127820e-01 -6.792305287778430678e-01 2.056911268848788110e-01
4.408817635270541047e-01 -6.172937602396895151e-01 1.457143296648943931e-01
4.809619238476953718e-01 -5.517095723942468943e-01 9.934338262019501431e-02
5.210420841683366389e-01 -4.831268859530968851e-01 6.506387295950663563e-02
5.611222444889779615e-01 -4.122560402411173386e-01 4.084875305609046714e-02
6.012024048096191731e-01 -3.398631396956660611e-01 2.452225071382281921e-02
6.412825651302604957e-01 -2.667654254319916651e-01 1.403399809878024679e-02
6.813627254509018183e-01 -1.938211731825325579e-01 7.629274137735427355e-03
7.214428857715430299e-01 -1.219209408286049817e-01 3.922660781844606974e-03
7.615230460921843525e-01 -5.197428519006974668e-02 1.897454706665563113e-03
8.016032064128255641e-01 1.510384419175614910e-02 8.578318397744575264e-04
8.416833667334668867e-01 7.840808357971024156e-02 3.594783901171941264e-04
8.817635270541082093e-01 1.370601174479669504e-01 1.381504093123615622e-04
9.218436873747494209e-01 1.902242983672869370e-01 4.800712597053376441e-05
9.619238476953907435e-01 2.371263671152163965e-01 1.479610635930683978e-05
1.002004008016031955e+00 2.770687080489345755e-01 3.934284096696459795e-06
1.042084168336673278e+00 3.094471349748433853e-01 8.653438821333381713e-07
1.082164328657314600e+00 3.337644030871692036e-01 1.467886915525389897e-07
1.122244488977955923e+00 3.496423786731148731e-01 1.678851193379725375e-08
