# time correlation fidelity
0.000000000000000000e+00 -1.058823529411764719e+00 1.000000000000000000e+00
4.008016032064128098e-02 -1.052212155007881123e+00 9.722285150294238676e-01
8.016032064128256196e-02 -1.034483527156299099e+00 9.009145730613306036e-01
1.202404809619238429e-01 -1.010602348819301222e+00 8.118353180026703919e-01
1.603206412825651239e-01 -9.852269569561736828e-01 7.256258159285089437e-01
2.004008016032063910e-01 -9.598103608080708060e-01 6.478335779597090838e-01
2.404809619238476859e-01 -9.318498786484795682e-01 5.715666861345958250e-01
2.805611222444889807e-01 -8.967243787630611029e-01 4.872991886319237853e-01
3.206412825651302478e-01 -8.508610160051628402e-01 3.931766201781354275e-01
3.607214428857715149e-01 -7.941524490821371129e-01 2.981128746336510482e-01
4.008016032064127820e-01 -7.301032946021055459e-01 2.147940017681085889e-01
4.408817635270541047e-01 -6.637075073095350941e-01 1.505134296167405794e-01
4.809619238476953718e-01 -5.985293250378637131e-01 1.047435336528938638e-01
5.210420841683366389e-01 -5.349070085273549546e-01 7.269209492557014707e-02
5.611222444889779615e-01 -4.703549122623926215e-01 4.942743127282679672e-02
6.012024048096191731e-01 -4.017416168664825760e-01 3.192162455314093150e-02
6.412825651302604957e-01 -3.277182928977219745e-01 1.905120166443111454e-02
6.813627254509018183e-01 -2.498433791591219144e-01 1.041818998426266921e-02
7.214428857715430299e-01 -1.718083874296387759e-01 5.304020565209020648e-03
7.615230460921843525e-01 -9.742609797121384863e-02 2.595649172290879700e-03
8.016032064128255641e-01 -2.877542994692201817e-02 1.254884041621060278e-03
8.416833667334668867e-01 3.434217089050174698e-02 5.992338355113449111e-04
8.817635270541082093e-01 9.346049364554140371e-02 2.724026233019069261e-04
9.218436873747494209e-01 1.498259417274030170e-01 1.109466907155742322e-04
9.619238476953907435e-01 2.032185046291742070e-01 3.818551248274288930e-05
1.002004008016031955e+00 2.518916236221426797e-01 1.074487056645633179e-05
1.042084168336673278e+00 2.935008331930976655e-01 2.480605452134239365e-06
1.082164328657314600e+00 3.262858356191416509e-01 4.854153199147434128e-07
1.122244488977955923e+00 3.497215014856444593e-01 8.229916159198540058e-08
1.162324649298597246e+00 3.643267893156058035e-01 1.121890840449509465e-08
1.202404809619238346e+00 3.709290525946078998e-01 8.958117221660090796e-10
1.242484969939879669e+00 3.699796155417038879e-01 1.465216785884661439e-11
1.282565130260520991e+00 3.613518959147140608e-01 1.129363205807208743e-12
1.322645290581162314e+00 3.446358634683778788e-01 2.437449711117856437e-12
1.362725450901803637e+00 3.196101121755234864e-01 2.438554946441126474e-12
1.402805611222444737e+00 2.865267992923781759e-01 5.301224112224618987e-12
1.442885771543086060e+00 2.460569145776765609e-01 1.121384748189044972e-11
1.482965931863727382e+00 1.990199290738949578e-01 1.109409578391215594e-11
1.523046092184368705e+00 1.461525559418060949e-01 1.143659919973110764e-11
1.563126252505010028e+00 8.808278699396632216e-02 2.910562018163618514e-11
1.603206412825651128e+00 2.547478791696384387e-02 8.273582421376927751e-11
1.643286573146292451e+00 -4.082453296221202899e-02 1.619133372173824384e-10
1.683366733466933773e+00 -1.097817931197681146e-01 2.166019002957705952e-10
1.723446893787575096e+00 -1.803236358418507379e-01 2.323348487898020471e-10
1.763527054108216419e+00 -2.515153561296927798e-01 2.490164151647813461e-10
1.803607214428857741e+00 -3.226340965264196670e-01 2.961605205822591325e-10
1.843687374749498842e+00 -3.930904481751386625e-01 3.979186997757561504e-10
1.883767535070140164e+00 -4.622673178952728112e-01 6.005750413159853549e-10
1.923847695390781487e+00 -5.294057206973178387e-01 9.412683807918316880e-10
1.963927855711422810e+00 -5.936205220667900573e-01 1.352190818623344807e-09
2.004008016032063910e+00 -6.540316349794688122e-01 1.614646083697751400e-09
2.044088176352705233e+00 -7.099186402014391328e-01 1.542464741952266484e-09
2.084168336673346555e+00 -7.608010588912247352e-01 1.208963743243213720e-09
2.124248496993987878e+00 -8.064056272221686861e-01 8.614886196792741017e-10
2.164328657314629201e+00 -8.465569729935510379e-01 6.733547068867611613e-10
2.204408817635270523e+00 -8.810675545393177321e-01 6.832728021479851044e-10
2.244488977955911846e+00 -9.096882666094582293e-01 8.712731984739907545e-10
2.284569138276553169e+00 -9.321335296142524429e-01 1.144351873666482759e-09
2.324649298597194491e+00 -9.481500732821509514e-01 1.283234201401777301e-09
2.364729458917835370e+00 -9.575851785492079937e-01 1.104293929099738446e-09
2.404809619238476692e+00 -9.604213459490874572e-01 7.030677965876822302e-10
2.444889779559118015e+00 -9.567674600736633117e-01 3.393057117240629348e-10
2.484969939879759337e+00 -9.468198365559852281e-01 1.418102345965809514e-10
2.525050100200400660e+00 -9.308146094610908472e-01 7.633758447601409163e-11
2.565130260521041983e+00 -9.089901567713457586e-01 9.159691495423320356e-11
2.605210420841683305e+00 -8.815703390034682618e-01 2.171753498981160710e-10
2.645290581162324628e+00 -8.487725679453992367e-01 5.981721729500629980e-10
2.685370741482965951e+00 -8.108383181631394487e-01 1.396873516554408648e-09
2.725450901803607273e+00 -7.680754444607763576e-01 2.422675006838366863e-09
2.765531062124248596e+00 -7.208940444443364681e-01 2.973331246044540281e-09
2.805611222444889474e+00 -6.698161691812881680e-01 2.593761066566477869e-09
2.845691382765530797e+00 -6.154478728161979495e-01 1.746773962105002210e-09
2.885771543086172120e+00 -5.584196312962997899e-01 1.176722936523600298e-09
2.925851703406813442e+00 -4.993225644323539547e-01 1.210216166494521767e-09
2.965931863727454765e+00 -4.386802612240349730e-01 1.992872852973858277e-09
3.006012024048096087e+00 -3.769847923218722086e-01 3.553016536987319383e-09
3.046092184368737410e+00 -3.147876788608874876e-01 5.168949968760004245e-09
3.086172344689378733e+00 -2.527910736016428794e-01 5.580718144622788317e-09
3.126252505010020055e+00 -1.918651306181381744e-01 4.452717073749760968e-09
3.166332665330661378e+00 -1.329499861052041987e-01 3.102401963990024802e-09
3.206412825651302256e+00 -7.687741376456945497e-02 4.582345106441821315e-09
3.246492985971943579e+00 -2.422167538419500721e-02 1.483658792169398130e-08
3.286573146292584902e+00 2.469924964392451391e-02 4.373900155461171896e-08
3.326653306613226224e+00 6.963357493881847105e-02 1.019277766375310401e-07
3.366733466933867547e+00 1.101199071157695497e-01 2.011689109362441620e-07
3.406813627254508869e+00 1.453302313988161787e-01 3.966374613647088668e-07
3.446893787575150192e+00 1.741989736698224822e-01 9.221485774535206654e-07
3.486973947895791515e+00 1.958215319796939025e-01 2.462187818334025298e-06
3.527054108216432837e+00 2.098881967318674824e-01 6.553814433895514560e-06
3.567134268537074160e+00 2.168323239024415872e-01 1.577072252868863273e-05
3.607214428857715482e+00 2.175123468593403442e-01 3.318105804563490117e-05
3.647294589178356361e+00 2.125626147568354385e-01 6.185278451964867008e-05
3.687374749498997684e+00 2.018362011954929203e-01 1.073575258812863481e-04
3.727454909819639006e+00 1.843866054297722545e-01 1.865589749444783918e-04
3.767535070140280329e+00 1.591124257243210771e-01 3.427021868702027560e-04
3.807615230460921651e+00 1.257068489007463485e-01 6.596151430917595844e-04
3.847695390781562974e+00 8.526374323104068953e-02 1.257203292176115690e-03
3.887775551102204297e+00 4.003093486490450631e-02 2.253320589499496155e-03
3.927855711422845619e+00 -7.656464232270018301e-03 3.718379964367610029e-03
3.967935871743486942e+00 -5.662777529083746347e-02 5.702885632685552805e-03
4.008016032064127820e+00 -1.074417192003201404e-01 8.406694237914635187e-03
4.048096192384769587e+00 -1.617639440084280011e-01 1.243603967829940045e-02
4.088176352705410466e+00 -2.208561974383813631e-01 1.892919675714840877e-02
4.128256513026052232e+00 -2.841544229818401823e-01 2.928350295281647447e-02
4.168336673346693111e+00 -3.489548592285956485e-01 4.443728553186967328e-02
4.208416833667334878e+00 -4.115508051108076049e-01 6.415446235952733389e-02
4.248496993987975756e+00 -4.691837868702193326e-01 8.713811481415277560e-02
4.288577154308616635e+00 -5.215406416187575722e-01 1.124390058520359781e-01
4.328657314629258401e+00 -5.707220640301454706e-01 1.414137539242099895e-01
4.368737474949899280e+00 -6.195829244515814738e-01 1.783421117283985335e-01
4.408817635270541047e+00 -6.694733411973251558e-01 2.281615933113313177e-01
4.448897795591181925e+00 -7.188902691882962381e-01 2.920826885145258456e-01
4.488977955911823692e+00 -7.640081334740261854e-01 3.644373944134448040e-01
4.529058116232464570e+00 -8.008294925984874579e-01 4.341913496168728903e-01
4.569138276553106337e+00 -8.275895576470522208e-01 4.912663679515419934e-01
4.609218436873747216e+00 -8.458124952451286926e-01 5.334711220131538312e-01
4.649298597194388982e+00 -8.592588722698863979e-01 5.680754813630101152e-01
4.689378757515029861e+00 -8.713998288772899503e-01 6.052807524266055061e-01
4.729458917835670739e+00 -8.830620933509198967e-01 6.478400202352565529e-01
4.769539078156312506e+00 -8.918054776674381179e-01 6.859404025676997252e-01
4.809619238476953385e+00 -8.934639629797935800e-01 7.026823336676251142e-01
4.849699398797595151e+00 -8.848541589116029060e-01 6.858772174000651312e-01
4.889779559118236030e+00 -8.658787745269062031e-01 6.366319894325597195e-01
4.929859719438877796e+00 -8.396495729222972493e-01 5.684095354076494910e-01
4.969939879759518675e+00 -8.105638281934177680e-01 4.977457871360341235e-01
5.010020040080160442e+00 -7.816101475148183875e-01 4.339552992382341712e-01
5.050100200400801320e+00 -7.526603063750642031e-01 3.759237411894433833e-01
5.090180360721443087e+00 -7.208262401342823145e-01 3.176800161852882942e-01
