# Eigenenergy Overlap Log2(Overlap)
-6.036323169258987598e+00 3.430127018187483466e-03 -8.187522284031848230e+00
-5.066848541759443769e+00 1.603850341875758673e-02 -5.962316662138300138e+00
-4.621064444625861078e+00 9.179917196127326297e-04 -1.008923123912117781e+01
-4.621064444625850420e+00 1.007162520746733309e-03 -9.955487782095060467e+00
-3.948463195711216844e+00 1.336703935860888200e-03 -9.547104323766307132e+00
-3.948463195711208407e+00 2.086892557236437028e-03 -8.904427958784530972e+00
-3.920746018090851770e+00 3.209720474045676258e-02 -4.961408527401437674e+00
-3.563324053972004801e+00 1.983153678562674614e-04 -1.229991590031369597e+01
-3.563324053972000804e+00 3.660463692156871399e-03 -8.093757870031867085e+00
-3.529036976415917071e+00 1.389822245488619816e-02 -6.168955811826453584e+00
-3.529036976415903748e+00 1.133614290088968220e-04 -1.310678252977425906e+01
-3.087728703840472821e+00 7.347413386305142726e-04 -1.041047593253021653e+01
-3.087366486792883613e+00 2.321953624943788857e-03 -8.750445126296567011e+00
-3.087366486792876952e+00 1.173166416672595698e-02 -6.413448511890925907e+00
-2.661720461179686303e+00 3.324322696534051658e-02 -4.910795756495366149e+00
-2.626576700266948006e+00 4.835922698096074402e-06 -1.765777738593746449e+01
-2.626576700266943565e+00 1.476028500575443581e-05 -1.604791989582855649e+01
-2.564274364345648483e+00 2.811656176802235880e-04 -1.179629219422496966e+01
-2.564274364345647150e+00 2.265798729668984726e-02 -5.463836477162137051e+00
-2.419990763616581386e+00 6.685217390213970753e-03 -7.224809809955381468e+00
-2.419990763616579166e+00 3.566274784545397231e-02 -4.809438321632928393e+00
-2.286902749829984760e+00 6.990813841130508795e-04 -1.048225196168592177e+01
-2.286902749829979875e+00 1.251338493515506895e-04 -1.296424028080462953e+01
-1.964080191700712685e+00 7.926565281505698092e-04 -1.030101652305043558e+01
-1.964080191700706912e+00 4.351246589982403663e-04 -1.116628360122212982e+01
-1.964040707234372629e+00 2.635333659107221720e-05 -1.521165484165778636e+01
-1.959258902775878664e+00 7.046658129032963699e-04 -1.047077315661098140e+01
